name,country,position,overall_rating,pace,shooting,passing,defending,stamina,injury_risk,goals_last_season,assists_last_season
Player 14,Peru,MID,73,67,48,69,43,87,32,1,4
Player 15,Peru,MID,75,85,50,73,45,73,26,0,3
Player 16,Peru,MID,80,87,55,83,50,75,27,3,2
Player 17,Peru,MID,77,73,52,77,47,80,42,2,2
Player 18,Peru,MID,74,82,49,73,44,82,38,1,3
Player 19,Peru,MID,79,79,54,78,49,83,22,0,10
Player 20,Peru,FWD,73,77,64,58,43,75,11,2,2
Player 21,Peru,FWD,77,77,77,62,47,75,35,14,1
Player 22,Peru,FWD,81,90,85,66,51,71,42,9,3
Player 23,Peru,FWD,74,61,67,59,44,79,22,15,7
Player 1,Algeria,GK,80,60,55,65,50,87,17,4,2
Player 2,Algeria,GK,78,58,53,63,48,73,26,4,2
Player 3,Algeria,GK,82,62,57,67,52,89,7,1,1
Player 4,Algeria,DEF,79,59,54,64,77,74,23,4,2
Player 5,Algeria,DEF,73,53,48,58,79,74,8,4,1
Player 6,Algeria,DEF,79,59,54,64,81,88,33,3,1
Player 7,Algeria,DEF,77,57,52,62,85,76,15,4,0
Player 8,Algeria,DEF,82,62,57,67,89,85,6,3,2
Player 9,Algeria,DEF,76,56,51,61,79,72,16,4,0
Player 10,Algeria,DEF,76,56,51,61,75,87,44,0,1
Player 11,Algeria,DEF,77,57,52,62,81,71,41,3,1
Player 12,Algeria,MID,77,73,52,84,47,75,42,5,8
Player 13,Algeria,MID,73,76,48,69,43,77,5,0,0
Player 14,Algeria,MID,76,75,51,76,46,87,40,3,2
Player 15,Algeria,MID,78,85,53,73,48,74,25,5,8
Player 16,Algeria,MID,82,74,57,78,52,82,20,0,10
Player 17,Algeria,MID,78,77,53,73,48,75,16,5,10
Player 18,Algeria,MID,79,74,54,77,49,90,11,0,10
Player 19,Algeria,MID,81,72,56,83,51,75,28,4,0
Player 20,Algeria,FWD,77,68,74,62,47,76,41,9,2
Player 21,Algeria,FWD,74,66,70,59,44,81,16,10,3
Player 22,Algeria,FWD,78,66,74,63,48,92,5,6,4
Player 23,Algeria,FWD,80,67,77,65,50,82,17,4,1
Player 1,Costa Rica,GK,76,56,51,61,46,71,29,5,0
Player 2,Costa Rica,GK,75,55,50,60,45,84,42,5,1
Player 3,Costa Rica,GK,75,55,50,60,45,84,37,0,2
Player 4,Costa Rica,DEF,77,57,52,62,84,78,24,1,2
Player 5,Costa Rica,DEF,70,50,45,55,77,85,25,4,0
Player 6,Costa Rica,DEF,77,57,52,62,80,76,7,0,0
Player 7,Costa Rica,DEF,77,57,52,62,73,82,34,5,0
Player 8,Costa Rica,DEF,75,55,50,60,81,72,36,4,2
Player 9,Costa Rica,DEF,70,50,45,55,73,85,17,0,2
Player 10,Costa Rica,DEF,77,57,52,62,85,83,36,1,1
Player 11,Costa Rica,DEF,74,54,49,59,70,84,5,1,0
Player 12,Costa Rica,MID,78,79,53,79,48,85,34,3,4
Player 13,Costa Rica,MID,75,70,50,75,45,72,26,2,5
Player 14,Costa Rica,MID,73,67,48,72,43,79,16,4,8
Player 15,Costa Rica,MID,78,85,53,86,48,85,12,1,3
Player 16,Costa Rica,MID,72,59,47,80,42,78,25,1,6
Player 17,Costa Rica,MID,76,80,51,71,46,73,34,1,3
Player 18,Costa Rica,MID,71,66,46,76,41,88,24,1,2
Player 19,Costa Rica,MID,79,81,54,76,49,77,24,2,4
Player 20,Costa Rica,FWD,73,58,66,58,43,81,35,14,4
Player 21,Costa Rica,FWD,78,68,82,63,48,88,15,10,0
Player 22,Costa Rica,FWD,72,71,69,57,42,86,37,12,3
Player 23,Costa Rica,FWD,71,67,76,56,41,75,45,8,7
Player 1,Panama,GK,80,60,55,65,50,84,17,4,1
Player 2,Panama,GK,73,53,48,58,43,71,19,2,2
Player 3,Panama,GK,76,56,51,61,46,83,25,0,0
Player 4,Panama,DEF,78,58,53,63,75,84,10,2,2
Player 5,Panama,DEF,71,51,46,56,69,89,6,4,0
Player 6,Panama,DEF,80,60,55,65,84,72,18,0,2
Player 7,Panama,DEF,72,52,47,57,76,87,7,5,0
Player 8,Panama,DEF,72,52,47,57,67,84,33,3,0
Player 9,Panama,DEF,71,51,46,56,72,81,23,3,2
Player 10,Panama,DEF,74,54,49,59,73,70,12,3,0
Player 11,Panama,DEF,72,52,47,57,70,83,39,0,2
Player 12,Panama,MID,75,62,50,75,45,80,23,1,9
Player 13,Panama,MID,78,82,53,79,48,81,12,4,1
Player 14,Panama,MID,71,73,46,72,41,78,8,0,3
Player 15,Panama,MID,78,72,53,73,48,75,42,0,10
Player 16,Panama,MID,80,87,55,85,50,74,6,4,6
Player 17,Panama,MID,71,65,46,72,41,87,24,1,1
Player 18,Panama,MID,74,67,49,73,44,84,29,4,1
Player 19,Panama,MID,79,89,54,83,49,77,35,2,0
Player 20,Panama,FWD,79,77,81,64,49,88,27,6,0
Player 21,Panama,FWD,79,74,81,64,49,90,20,3,8
Player 22,Panama,FWD,80,71,82,65,50,73,24,2,3
Player 23,Panama,FWD,77,64,75,62,47,87,35,2,10
Player 1,Qatar,GK,76,56,51,61,46,83,42,0,2
Player 2,Qatar,GK,78,58,53,63,48,75,22,3,0
Player 3,Qatar,GK,77,57,52,62,47,84,9,1,1
Player 4,Qatar,DEF,72,52,47,57,67,72,7,0,1
Player 5,Qatar,DEF,74,54,49,59,80,82,24,1,0
Player 6,Qatar,DEF,77,57,52,62,80,86,10,2,0
Player 7,Qatar,DEF,70,50,45,55,71,82,24,3,1
Player 8,Qatar,DEF,71,51,46,56,75,72,18,0,2
Player 9,Qatar,DEF,77,57,52,62,82,74,13,2,2
Player 10,Qatar,DEF,79,59,54,64,80,87,22,2,1
Player 11,Qatar,DEF,74,54,49,59,69,81,34,1,2
Player 12,Qatar,MID,70,63,45,77,40,70,43,1,8
Player 13,Qatar,MID,76,63,51,78,46,86,43,5,2
Player 14,Qatar,MID,76,79,51,73,46,87,12,0,5
Player 15,Qatar,MID,79,71,54,87,49,91,35,4,0
Player 16,Qatar,MID,77,68,52,82,47,79,14,3,5
Player 17,Qatar,MID,78,76,53,76,48,83,45,4,0
Player 18,Qatar,MID,70,75,45,78,40,72,18,3,6
Player 19,Qatar,MID,71,61,46,67,41,86,33,2,8
Player 20,Qatar,FWD,73,78,75,58,43,71,13,11,3
Player 21,Qatar,FWD,79,71,82,64,49,79,32,12,3
Player 22,Qatar,FWD,76,78,69,61,46,91,14,13,2
Player 23,Qatar,FWD,71,66,71,56,41,90,42,10,3
Player 1,Jamaica,GK,72,52,47,57,42,84,15,5,2
Player 2,Jamaica,GK,77,57,52,62,47,87,15,3,1
Player 3,Jamaica,GK,76,56,51,61,46,87,13,2,1
Player 4,Jamaica,DEF,78,58,53,63,77,92,34,0,1
Player 5,Jamaica,DEF,77,57,52,62,76,70,30,1,0
Player 6,Jamaica,DEF,70,50,45,55,78,85,27,1,1
Player 7,Jamaica,DEF,79,59,54,64,78,82,44,3,0
Player 8,Jamaica,DEF,76,56,51,61,71,79,30,5,2
Player 9,Jamaica,DEF,70,50,45,55,74,75,31,3,0
Player 10,Jamaica,DEF,78,58,53,63,86,88,6,0,1
Player 11,Jamaica,DEF,79,59,54,64,74,72,23,2,2
Player 12,Jamaica,MID,73,80,48,72,43,74,16,5,4
Player 13,Jamaica,MID,71,58,46,68,41,79,15,5,10
Player 14,Jamaica,MID,79,77,54,85,49,77,11,5,0
Player 15,Jamaica,MID,76,78,51,83,46,76,37,4,6
Player 16,Jamaica,MID,75,72,50,76,45,92,17,2,7
Player 17,Jamaica,MID,79,67,54,79,49,75,34,4,3
Player 18,Jamaica,MID,77,62,52,75,47,72,31,3,4
Player 19,Jamaica,MID,74,62,49,82,44,89,17,5,10
Player 20,Jamaica,FWD,73,68,76,58,43,78,22,2,7
Player 21,Jamaica,FWD,77,77,68,62,47,80,18,10,9
Player 22,Jamaica,FWD,71,59,70,56,41,89,39,2,4
Player 23,Jamaica,FWD,74,77,71,59,44,92,45,15,7
Player 1,New Zealand,GK,69,49,44,54,39,78,22,0,1
Player 2,New Zealand,GK,69,49,44,54,39,77,33,4,2
Player 3,New Zealand,GK,70,50,45,55,40,87,21,5,1
Player 4,New Zealand,DEF,66,46,41,51,73,77,10,1,0
Player 5,New Zealand,DEF,68,48,43,53,75,73,27,2,2
Player 6,New Zealand,DEF,68,48,43,53,69,84,37,1,1
Player 7,New Zealand,DEF,67,47,42,52,62,70,6,3,2
Player 8,New Zealand,DEF,71,51,46,56,79,92,29,5,1
Player 9,New Zealand,DEF,70,50,45,55,78,82,19,2,2
Player 10,New Zealand,DEF,67,47,42,52,65,76,35,5,1
Player 11,New Zealand,DEF,72,52,47,57,78,73,34,1,2
Player 12,New Zealand,MID,69,54,44,69,39,70,33,4,4
Player 13,New Zealand,MID,74,79,49,80,44,91,44,4,3
Player 14,New Zealand,MID,74,70,49,75,44,83,15,1,2
Player 15,New Zealand,MID,68,72,43,76,38,78,45,0,6
Player 16,New Zealand,MID,70,59,45,74,40,75,6,5,3
Player 17,New Zealand,MID,72,64,47,72,42,86,24,1,2
Player 18,New Zealand,MID,74,71,49,77,44,72,31,0,2
Player 19,New Zealand,MID,66,57,41,61,36,92,45,3,6
Player 20,New Zealand,FWD,74,81,79,59,44,80,20,2,9
Player 21,New Zealand,FWD,72,65,76,57,42,87,21,7,6
Player 22,New Zealand,FWD,70,55,65,55,40,70,18,6,6
Player 23,New Zealand,FWD,69,75,72,54,39,81,31,14,0
Player 1,South Africa,GK,78,58,53,63,48,91,17,4,1
Player 2,South Africa,GK,70,50,45,55,40,80,10,5,1
Player 3,South Africa,GK,76,56,51,61,46,89,27,5,2
Player 4,South Africa,DEF,76,56,51,61,77,82,38,1,1
Player 5,South Africa,DEF,78,58,53,63,73,80,16,3,0
Player 6,South Africa,DEF,73,53,48,58,81,78,14,4,0
Player 7,South Africa,DEF,75,55,50,60,72,78,45,3,1
Player 8,South Africa,DEF,70,50,45,55,70,76,28,3,0
Player 9,South Africa,DEF,78,58,53,63,85,72,12,4,2
Player 10,South Africa,DEF,75,55,50,60,75,90,8,2,0
Player 11,South Africa,DEF,69,49,44,54,73,84,7,0,2
Player 12,South Africa,MID,69,57,44,68,39,89,25,2,0
Player 13,South Africa,MID,78,79,53,86,48,83,8,5,10
Player 14,South Africa,MID,74,60,49,75,44,80,11,1,7
Player 15,South Africa,MID,71,80,46,68,41,87,44,1,0
Player 16,South Africa,MID,77,71,52,82,47,70,32,3,7
Player 17,South Africa,MID,71,61,46,72,41,89,40,2,5
Player 18,South Africa,MID,77,64,52,78,47,87,12,2,1
Player 19,South Africa,MID,73,58,48,75,43,70,41,4,5
Player 20,South Africa,FWD,71,68,75,56,41,72,19,6,2
Player 21,South Africa,FWD,72,78,77,57,42,83,22,14,3
Player 22,South Africa,FWD,78,64,69,63,48,90,11,13,7
Player 23,South Africa,FWD,78,85,73,63,48,84,12,15,5
Player 1,Iraq,GK,69,49,44,54,39,74,44,3,0
Player 2,Iraq,GK,74,54,49,59,44,85,44,3,2
Player 3,Iraq,GK,78,58,53,63,48,77,29,1,0
Player 4,Iraq,DEF,75,55,50,60,75,87,33,0,0
Player 5,Iraq,DEF,71,51,46,56,68,90,18,1,2
Player 6,Iraq,DEF,72,52,47,57,70,76,31,4,2
Player 7,Iraq,DEF,69,49,44,54,71,87,31,3,1
Player 8,Iraq,DEF,72,52,47,57,75,80,39,5,1
Player 9,Iraq,DEF,69,49,44,54,67,83,24,0,1
Player 10,Iraq,DEF,78,58,53,63,80,85,40,1,0
Player 11,Iraq,DEF,76,56,51,61,83,92,5,3,0
Player 12,Iraq,MID,76,71,51,79,46,92,44,0,6
Player 13,Iraq,MID,72,70,47,69,42,91,16,4,10
Player 14,Iraq,MID,73,60,48,80,43,71,25,4,8
Player 15,Iraq,MID,75,63,50,81,45,78,32,4,2
Player 16,Iraq,MID,72,73,47,68,42,72,43,4,1
Player 17,Iraq,MID,72,67,47,71,42,86,27,4,8
Player 18,Iraq,MID,72,61,47,79,42,70,42,2,0
Player 19,Iraq,MID,77,83,52,75,47,73,25,2,2
Player 20,Iraq,FWD,71,73,66,56,41,91,31,10,5
Player 21,Iraq,FWD,75,75,77,60,45,86,29,7,5
Player 22,Iraq,FWD,77,72,69,62,47,85,21,11,1
Player 23,Iraq,FWD,77,68,67,62,47,80,20,9,1
Player 1,Uzbekistan,GK,71,51,46,56,41,84,8,1,1
Player 2,Uzbekistan,GK,70,50,45,55,40,90,40,1,1
Player 3,Uzbekistan,GK,79,59,54,64,49,77,42,2,2
Player 4,Uzbekistan,DEF,72,52,47,57,79,88,18,1,1
Player 5,Uzbekistan,DEF,77,57,52,62,83,83,30,5,2
Player 6,Uzbekistan,DEF,76,56,51,61,74,82,42,5,1
Player 7,Uzbekistan,DEF,78,58,53,63,78,90,5,5,0
Player 8,Uzbekistan,DEF,72,52,47,57,71,88,6,5,0
Player 9,Uzbekistan,DEF,70,50,45,55,76,84,33,5,1
Player 10,Uzbekistan,DEF,79,59,54,64,74,90,44,4,1
Player 11,Uzbekistan,DEF,77,57,52,62,77,88,8,3,2
Player 12,Uzbekistan,MID,76,72,51,78,46,75,9,0,6
Player 13,Uzbekistan,MID,72,69,47,73,42,80,36,3,1
Player 14,Uzbekistan,MID,78,69,53,86,48,76,34,5,6
Player 15,Uzbekistan,MID,79,68,54,80,49,91,31,1,7
Player 16,Uzbekistan,MID,76,82,51,80,46,92,25,5,9
Player 17,Uzbekistan,MID,72,57,47,68,42,80,18,2,8
Player 18,Uzbekistan,MID,72,78,47,67,42,86,38,0,7
Player 19,Uzbekistan,MID,70,57,45,78,40,71,29,0,0
Player 20,Uzbekistan,FWD,79,66,79,64,49,74,29,5,9
Player 21,Uzbekistan,FWD,71,66,76,56,41,76,18,8,3
Player 22,Uzbekistan,FWD,74,80,79,59,44,78,23,12,7
Player 23,Uzbekistan,FWD,76,68,77,61,46,78,45,0,5
